CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,HasCrCard,IsActiveMember,Geography,Gender,y_true,y_pred,p_churn
607,37,4,135927.06,1,180890.4,0,0,Germany,Female,0,1,0.5626946463507749
682,43,7,111094.05,2,64679.3,1,1,Germany,Female,0,1,0.551373443684876
807,60,1,72948.58,2,17355.36,1,1,Germany,Female,0,1,0.5170218093737846
636,33,0,0.0,1,92277.47,1,0,Spain,Female,1,0,0.3731247861784398
616,45,3,143129.41,2,64327.26,0,1,Germany,Male,0,1,0.507809148594459
453,29,6,0.0,1,198376.02,0,0,France,Male,1,0,0.30921094843772756
638,46,9,139859.54,1,38967.29,1,0,France,Male,0,1,0.6846322622785763
782,41,4,0.0,1,132943.88,1,0,Spain,Female,0,1,0.6013438662739733
606,36,1,155655.46,1,192387.51,1,1,France,Male,1,0,0.23750599593629773
687,50,5,0.0,2,110230.4,1,0,Spain,Female,0,1,0.590000373214888
682,58,1,0.0,1,706.5,1,1,France,Female,0,1,0.6078389727838878
651,41,4,133432.59,1,151303.48,0,1,Germany,Female,0,1,0.6129840301007402
567,46,1,68238.51,2,109572.58,1,1,Germany,Female,0,1,0.501533932368569
551,27,2,113873.22,1,85129.77,1,1,Spain,Male,1,0,0.20269360582804943
768,26,5,51116.26,1,70454.79,1,1,France,Female,1,0,0.22881567241873127
670,40,3,47364.45,1,148579.43,1,1,France,Female,1,0,0.47148768419443127
679,34,7,121063.85,1,56984.58,1,0,Germany,Female,0,1,0.652461587764594
807,43,1,105799.32,2,34888.04,1,0,France,Male,1,0,0.40871127304907695
